人物1,人物2,关系
宋共公,华元,君臣
宋平公,华元,君臣
楚庄王,子反,君臣
晋景公,郤克,君臣
郤缺,郤克,父子
齐顷公,逢丑父,君臣
楚庄王,巫臣,君臣
巫臣,夏姬,夫妻
晋景公,晋历公,继承|父子
楚庄王,养由基,君臣
楚共王,养由基,君臣
楚康王,养由基,君臣
晋历公,郤至,君臣
晋历公,郤犨,君臣
晋历公,郤锜,君臣
郤克,郤锜,父子
郤犨,郤至,叔侄
晋历公,晋悼公,继承|叔侄
魏犨,魏绛,爷孙
赵盾,赵武,爷孙
赵盾,韩厥,领导
晋悼公,韩厥,君臣|中军帅
晋悼公,魏绛,君臣|司马
晋悼公,赵武,君臣
晋悼公,中行偃,君臣
荀林父,荀首,哥弟
荀首,智罃,父子
荀林父,中行偃,父子
晋悼公,智罃,君臣|中军帅
楚庄王,楚共王,继承|父子
晋文公,士会,君臣
士会,范文子,父子
范文子,范宣子,父子
中行偃,范宣子,接班
栾盾,栾书,父子
栾书,栾黡,父子
栾黡,栾盈,父子
晋历公,栾书,君臣
栾盈,督戎,领导
范宣子,斐豹,领导
晋悼公,晋平公,继承|父子
晋平公,范宣子,君臣
晋平公,栾盈,君臣
晋昭公,魏献子,君臣
晋昭公,晋顷公,继承|父子
晋顷公,魏献子,君臣
晋平公,魏献子,君臣
晋平公,晋昭公,继承|父子
齐庄公,崔杼,君臣
齐庄公,齐景公,继承|兄弟
齐景公,晏婴,君臣|丞相
崔杼,崔夫人,夫妻
齐庄公,崔夫人,情人
齐景公,崔杼,君臣
齐景公,庆封,君臣
赵武,韩起,接班
楚共王,楚康王,继承|父子
楚康王,楚愍王,继承|父子
楚愍王,楚灵王,夺位|侄叔
楚灵王,伍举,君臣
伍参,伍举,父子
伍举,伍子胥,爷孙
楚灵王,楚平王,继承|兄弟
楚平王,斗成然,君臣|令尹
楚平王,费无极,君臣
伍参,伍子胥,父子
伍参,伍尚,父子
伍尚,伍子胥,兄弟
后稷,吴泰伯,祖宗
吴泰伯,季历,兄弟
季历,周文王,父子
寿梦,巫臣,君臣
寿梦,诸樊,父子
寿梦,佘祭,父子
寿梦,夷昧,父子
寿梦,季礼,父子
寿梦,诸樊,继承|父子
诸樊,佘祭,继承|兄弟
佘祭,夷昧,继承|兄弟
诸樊,僚,父子
夷昧,僚,继承
夷昧,阖闾,父子
阖闾,伍子胥,君臣
楚平王,楚昭王,继承|父子
僚,庆忌,父子
伍子胥,专诸,领导
晋顷公,晋定公,继承|父子
晋定公,魏舒,君臣|中军帅
晋定公,晋出公,继承|父子
晋出公,晋衰公,继承|父子
晋衰公,晋幽公,继承|父子
晋幽公,晋烈公,继承|父子
晋烈公,晋孝公,继承|父子
晋孝公,晋景公,继承|父子
郤宛,伯嚭,父子
阖闾,孙武,君臣
阖闾,伯嚭,君臣
伍子胥,孙武,团队
楚昭王,囊瓦,君臣|令尹
楚昭王,沈尹戌,君臣|司马
楚昭王,申包胥,君臣
伍子胥,申包胥,朋友|对手
鲁恒公,鲁庄公,继承|父子
鲁恒公,庆父,父子
鲁恒公,叔牙,父子
鲁恒公,季友,父子
鲁庄公,鲁闵公,夺位|父子
鲁闵公,鲁僖公,夺位|兄弟
鲁僖公,鲁文公,继承|父子
鲁文公,鲁宣公,继承|父子
鲁宣公,鲁成公,继承|父子
鲁成公,鲁襄公,继承
鲁宣公,季文子,君臣
鲁成公,季文子,君臣
鲁襄公,季文子,君臣
季文子,季武子,父子
鲁襄公,季武子,君臣
季武子,季平子,父子
鲁襄公,鲁昭公,继承
鲁昭公,季平子,君臣
季平子,阳虎,家臣
季恒子,阳虎,家臣
季平子,季恒子,父子
鲁昭公,鲁定公,继承|兄弟
鲁定公,鲁哀公,继承|父子
鲁哀公,鲁悼公,继承|父子
鲁悼公,鲁元公,继承|父子
鲁元公,鲁穆公,继承|父子
鲁穆公,鲁共公,继承|父子
鲁共公,鲁康公,继承|父子
鲁康公,鲁景公,继承|父子
鲁景公,鲁平公,继承|父子
鲁平公,鲁文公*,继承|父子
鲁文公*,鲁顷公,继承|父子
孔子,颜回,师生
孔子,子路,师生
孔子,子贡,师生
齐灵公,齐庄公,继承
齐庄公,齐景公,继承
齐灵公,晏婴,君臣|丞相
齐庄公,晏婴,君臣|丞相
允常,勾践,继承|父子
阖闾,夫差,继承|父子
勾践,范蠡,君臣
勾践,文种,君臣
季恒子,季康子,父子
先轸,先且居,接班|晋中军帅
先且居,赵盾,接班|晋中军帅
赵盾,郤缺,接班|晋中军帅
郤缺,荀林父,接班|晋中军帅
荀林父,士会,接班|晋中军帅
士会,郤克,接班|晋中军帅
郤克,栾书,接班|晋中军帅
栾书,韩厥,接班|晋中军帅
韩厥,智罃,接班|晋中军帅
智罃,中行偃,接班|晋中军帅
中行偃,范宣子,接班|晋中军帅
范宣子,赵武,接班|晋中军帅
赵武,韩起,接班|晋中军帅
韩起,魏舒,接班|晋中军帅
魏舒,范鞅,接班|晋中军帅
范鞅,智跞,接班|晋中军帅
智跞,赵简子,接班|晋中军帅
赵简子,智伯,接班|晋中军帅
赵简子,赵襄子,父子
赵襄子,张孟谈,家臣
智罃,智朔,父子
智朔,智盈,父子
智盈,智跞,父子
智跞,智申,父子
智申,智伯,父子
晋献公,毕万,君臣|保镖
毕万,毕阳,祖宗
毕阳,豫让,爷孙
魏文侯,翟璜,君臣
魏文侯,西门豹,君臣
魏文侯,乐羊,君臣
毕万,魏犨,父子
魏犨,魏绛,爷孙
魏绛,魏舒,父子
魏舒,魏恒子,祖宗
魏恒子,魏文侯,父子
魏文侯,李悝,君臣
曾申,吴起,师生
曾参,曾申,父子
鲁穆公,吴起,君臣
魏文侯,魏武侯,继承|父子
魏武侯,王错,君臣
楚悼王,吴起,君臣|令尹
楚悼王,楚肃王,继承|父子
齐景公,齐悼公,继承
齐悼公,齐简公,继承
齐简公,齐平公,继承
齐平公,齐宣公,继承
齐宣公,齐康公,继承
齐康公,齐太公（田和）,田氏代齐
齐太公（田和）,齐废公（田剡）,继承|父子
齐废公,齐桓公*,夺位|兄弟
齐桓公*,齐威王,继承|父子
齐威王,齐宣王,继承|父子
齐宣王,齐泯王,继承|父子
齐泯王,齐襄王,继承|父子
齐襄王,齐王建,继承|父子
韩哀侯,严仲子,君臣
韩哀侯,侠累,君臣
严仲子,聂政,朋友
鬼谷子,孙膑,师生
鬼谷子,庞涓,师生
鬼谷子,张仪,师生
齐威王,孙膑,君臣
齐威王,田忌,君臣
孙膑,田忌,团队
魏惠王,庞涓,君臣
魏武侯,魏惠王,继承|父子
齐威王,邹忌,君臣|相国
赵敬侯,赵成侯,继承|父子
赵烈侯,赵武侯,继承|兄弟
赵武侯,赵敬侯,继承|叔侄
齐威王,齐宣王,继承|父子
公叔痤,商鞅,领导
魏惠王,公叔痤,君臣|相国
秦孝公,商鞅,君臣|大良造
秦孝公,赢虔,君臣|兄弟
秦孝公,秦惠文王,继承|父子
秦孝公,甘龙,君臣
楚肃王,楚宣王,继承|兄弟
楚宣王,楚威王,继承|父子
魏惠王,惠施,君臣|丞相
惠施,庄子,朋友
魏惠王,白圭,君臣|丞相
秦惠文王,公孙衍,君臣|大良造
昭阳,张仪,门客
楚威王,楚怀王,继承|父子
秦惠文王,张仪,君臣|相国
秦惠文王,陈珍,君臣|相国
齐威王,匡章,君臣
齐威王,田昐,君臣
齐宣王,匡章,君臣
齐宣王,田昐,君臣
齐闵王,匡章,君臣
孟子,匡章,师生
齐宣王,齐闵王,继承|父子
魏惠王,魏襄王,继承|父子
荀子,李斯,师生
荀子,韩非,师生
齐宣王,田婴,君臣|相国
齐宣王,孟尝君,君臣|相国
齐闵王,孟尝君,君臣|相国
齐宣王,钟无艳,夫妻
燕王哙,鹿毛寿,君臣
燕王哙,子之,君臣|相国
秦惠文王,司马错,君臣
秦惠文王,张若,君臣
秦惠文王,李冰,君臣
燕王哙,燕太子平,父子
燕王哙,燕昭王,继承|父子
齐宣王,孟子,君臣
楚怀王,景翠,君臣
楚怀王,屈丐,君臣
秦惠文王,嬴疾,君臣
秦惠文王,甘茂,君臣
秦惠文王,秦武王,继承|父子
秦武王,甘茂,君臣|左丞相
秦武王,嬴疾,君臣|右丞相
秦惠文王,魏章,君臣
秦武王,秦昭襄王,继承|兄弟
楚怀王,楚顷襄王,继承|父子
赵成侯,赵肃侯,继承|父子
赵肃侯,赵武灵王,继承|父子
公子成,赵武灵王,叔侄
秦昭襄王,孟尝君,君臣|相国
秦昭襄王,幸姬,夫妻
赵武灵王,赵惠文王,继承|父子
赵武灵王,吴娃,夫妻
赵武灵王,安阳君,父子
吴娃,赵惠文王,母子
赵武灵王,韩氏夫人,夫妻
韩氏夫人,安阳君,母子
安阳君,田不礼,团队
赵武灵王,奉阳君,君臣
赵惠文王,奉阳君,君臣|相国
公子成,奉阳君,团队
赵武灵王,肥义,君臣|相国
赵惠文王,肥义,君臣|相国
秦昭襄王,白起,君臣
魏襄王,魏昭王,继承|父子
魏襄王,公孙喜,君臣
魏昭王,公孙喜,君臣
魏昭王,信陵君,父子
魏昭王,魏安僖王,继承|父子
魏安僖王,信陵君,兄弟
秦昭襄王,魏冉,君臣|相国
燕昭王,乐毅,君臣
燕昭王,邹衍,君臣
燕昭王,苏秦,君臣
秦昭襄王,韩珉,君臣
齐闵王,韩珉,君臣|相国
齐闵王,苏秦,君臣|间谍
燕昭王,张魁,君臣
赵惠文王,韩徐为,君臣
秦昭襄王,蒙骜,君臣|将军
秦孝文王,蒙骜,君臣|将军
秦庄襄王,蒙骜,君臣|将军
秦始皇帝,蒙骜,君臣|将军
韩襄王,暴鸢,君臣|将军
韩釐王,暴鸢,君臣|将军
齐闵王,触子,君臣|将军
齐闵王,达子,君臣|将军
赵惠文王,蔺相如,君臣|丞相
赵惠文王,廉颇,君臣|将军
赵惠文王,赵孝成王,继承|父子
赵孝成王,赵悼襄王,继承|父子
赵孝成王,廉颇,君臣|将军
赵悼襄王,廉颇,君臣|将军
赵悼襄王,赵王迁,继承|父子
楚顷襄王,宋玉,君臣|男宠
齐闵王,齐襄王,继承|父子
齐襄王,安平君（田单）,君臣
赵武灵王,平原君（赵胜）,父子
赵惠文王,平原君（赵胜）,兄弟
秦昭襄王,范睢,君臣|相国
秦惠文王,宣太后,夫妻
宣太后,秦昭襄王,母子
宣太后,魏冉,姐弟
宣太后,泾阳君,母子
宣太后,高陵君,母子
宣太后,华阳君,姐弟
宣太后,魏丑夫,男宠
魏王,魏齐,君臣|相国
魏王,须贾,君臣
须贾,范睢,门客
范睢,张禄,曾用名
范睢,郑安平,恩人
范睢,王稽,恩人
秦昭襄王,郑安平,君臣
秦昭襄王,王稽,君臣
赵惠文王,虞卿,君臣|相国
信陵君（魏无忌）,侯嬴,领导
齐襄王,齐王建,继承|父子
秦昭襄王,秦孝文王（嬴柱）,继承|父子
秦孝文王（嬴柱）,秦庄襄王（嬴楚）,继承|父子
秦庄襄王（嬴楚）,秦始皇（嬴政）,继承|义父子
秦孝文王（嬴柱）,华阳夫人,夫妻
华阳夫人,秦庄襄王（嬴楚）,义母子
文信侯（吕不韦）,赵姬,情人
秦庄襄王（嬴楚）,文信侯（吕不韦）,君臣|丞相
秦始皇（嬴政）,文信侯（吕不韦）,君臣|仲父
赵孝成王,建信君,君臣|基友
韩恒惠王,冯亭,君臣|上党郡守
赵惠文王,平阳君（赵豹）,兄弟
平阳君（赵豹）,赵孝成王,叔侄
秦昭襄王,王龁,君臣|将军
赵孝成王,赵括,君臣|将军
马服君（赵奢）,赵括,父子
赵武灵王,马服君（赵奢）,君臣|将军
赵孝成王,马服君（赵奢）,君臣|将军
赵孝成王,赵郝,君臣
赵武灵王,楼缓,君臣
赵孝成王,楼缓,君臣
秦昭襄王,王陵,君臣|将军
魏安僖王,晋鄙,君臣|将军
平原君（赵胜）,毛遂,门客
楚顷襄王,楚考烈王,继承|父子
楚顷襄王,春申君（黄歇）,兄弟
春申君（黄歇）,楚考烈王,君臣|叔侄
信陵君（魏无忌）,朱亥,领导
燕昭王,燕王喜,重孙
乐毅,乐间,父子
燕王喜,乐间,君臣
燕王喜,栗腹,君臣|将军
鲁隐公,鲁恒公,继承|兄弟
宋昭公,宋文共,夺位|兄弟
宋成公,宋废公,夺位|兄弟
宋景公,宋昭公*,继承|义父子
公孙纠,宋昭公*,父子
宋剔成君,宋康王,夺位|兄弟
宋昭公,宋平公,继承|父子
宋平公,宋元公,继承|父子
宋元公,宋景公,继承|父子
宋昭公*,宋悼公,继承|父子
宋悼公,宋休公,继承|父子
宋休公,宋辟公,继承|父子
宋辟公,宋剔成君,夺位|君臣
宋剔成公,宋康王,夺位|兄弟
楚昭王,楚惠王,继承|父子
楚惠王,楚简王,继承|父子
楚简王,楚声王,继承|父子
楚声王,楚悼王,继承|父子
楚悼王,楚肃王,继承|父子
楚肃王,楚宣王,继承|兄弟
楚宣王,楚威王,继承|父子
楚威王,楚怀王,继承|父子
楚怀王,楚顷襄王,继承|父子
楚顷襄王,楚考烈王,继承|父子
楚考烈王,楚幽王,继承|父子
楚幽王,楚哀王,继承|兄弟
楚哀王,楚王负刍,继承|兄弟
魏安僖王,魏景愍王,继承|父子
魏景愍王,魏王假,继承|父子
韩景侯,韩烈侯,继承|父子
韩烈侯,侠累,君臣|丞相
韩烈侯,严仲子,君臣
严仲子,聂政,朋友
聂政,侠累,刺杀
韩烈侯,韩文侯,继承|父子
韩昭侯,申不害,君臣|丞相
韩文侯,韩哀侯,继承|父子
韩哀侯,韩懿候,继承|父子
韩懿候,韩昭侯,继承|父子
韩昭侯,韩宣惠王,继承|父子
韩宣惠王,韩襄王,继承|父子
韩襄王,韩厘王,继承|父子
韩厘王,韩恒惠王,继承|父子
韩恒惠王,韩王安,继承|父子
